BIOMASS CALCULATION RESULTS
Generated on: 2026-04-02 06:58:38
Total records: 2062

plot	year	growthplotnum	section	speccode	species	specabbrev	origin	tree status	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246201PIP	2017	1	12	20	largetooth aspen	Bf 	N	L 	99	14a.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
